intercalation_fraction,half_cell_open_circuit_potential
0.300000000000000,4.44000000000000
0.322400000000000,4.34000000000000
0.371400000000000,4.23000000000000
0.430900000000000,4.13000000000000
0.502300000000000,4.02500000000000
0.566000000000000,3.94500000000000
0.680100000000000,3.83500000000000
0.842500000000000,3.71000000000000
0.910400000000000,3.62000000000000
0.947500000000000,3.51000000000000
0.960100000000000,3.42000000000000
0.969900000000000,3.30000000000000
0.976200000000000,3.16500000000000
0.979000000000000,3.02000000000000
0.980400000000000,2.90000000000000
0.982500000000000,2.68800000000000
