  #timestep,                   time,        internal_energy,         kinetic_energy,           beam_contact,         beam_potential,            total_energy
         37,   3.70000000000000e-01,   1.83368509925121e+01,   0.00000000000000e+00,   1.16116248535264e-03,   0.00000000000000e+00,    1.83380121549974e+01
         38,   3.80000000000000e-01,   1.83521071133267e+01,   0.00000000000000e+00,   1.28606076584997e-03,   0.00000000000000e+00,    1.83533931740925e+01
         39,   3.90000000000000e-01,   1.83684258799785e+01,   0.00000000000000e+00,   1.42152647132970e-03,   0.00000000000000e+00,    1.83698474064498e+01
         40,   4.00000000000000e-01,   1.83858584997665e+01,   0.00000000000000e+00,   1.56827697282930e-03,   0.00000000000000e+00,    1.83874267767393e+01
         41,   4.10000000000000e-01,   1.84044579823414e+01,   0.00000000000000e+00,   1.72706017002972e-03,   0.00000000000000e+00,    1.84061850425114e+01
         42,   4.20000000000000e-01,   1.84242791186983e+01,   0.00000000000000e+00,   1.89865465490352e-03,   0.00000000000000e+00,    1.84261777733532e+01
         43,   4.30000000000000e-01,   1.84453784601639e+01,   0.00000000000000e+00,   2.08386985757719e-03,   0.00000000000000e+00,    1.84474623300214e+01
         44,   4.40000000000000e-01,   1.84678142974255e+01,   0.00000000000000e+00,   2.28354617391119e-03,   0.00000000000000e+00,    1.84700978435994e+01
         45,   4.50000000000000e-01,   1.84916466396439e+01,   0.00000000000000e+00,   2.49855507480540e-03,   0.00000000000000e+00,    1.84941451947187e+01
         46,   4.60000000000000e-01,   1.85169371936870e+01,   0.00000000000000e+00,   2.72979919747590e-03,   0.00000000000000e+00,    1.85196669928844e+01
         47,   4.70000000000000e-01,   1.85437493435211e+01,   0.00000000000000e+00,   2.97821241931379e-03,   0.00000000000000e+00,    1.85467275559404e+01
         48,   4.80000000000000e-01,   1.85721481297887e+01,   0.00000000000000e+00,   3.24475991501910e-03,   0.00000000000000e+00,    1.85753928897037e+01
         49,   4.90000000000000e-01,   1.86022002296015e+01,   0.00000000000000e+00,   3.53043819788063e-03,   0.00000000000000e+00,    1.86057306677994e+01
         50,   5.00000000000000e-01,   1.86339739365743e+01,   0.00000000000000e+00,   3.83627514610624e-03,   0.00000000000000e+00,    1.86378102117204e+01
         51,   5.10000000000000e-01,   1.86675391411188e+01,   0.00000000000000e+00,   4.16333001517072e-03,   0.00000000000000e+00,    1.86717024711340e+01
         52,   5.20000000000000e-01,   1.87029673110189e+01,   0.00000000000000e+00,   4.51269343713151e-03,   0.00000000000000e+00,    1.87074800044561e+01
         53,   5.30000000000000e-01,   1.87403314723022e+01,   0.00000000000000e+00,   4.88548740786682e-03,   0.00000000000000e+00,    1.87452169597101e+01
         54,   5.40000000000000e-01,   1.87797061904205e+01,   0.00000000000000e+00,   5.28286526317284e-03,   0.00000000000000e+00,    1.87849890556837e+01
         55,   5.50000000000000e-01,   1.88211675517517e+01,   0.00000000000000e+00,   5.70601164452739e-03,   0.00000000000000e+00,    1.88268735633962e+01
         56,   5.60000000000000e-01,   1.88647931454313e+01,   0.00000000000000e+00,   6.15614245540269e-03,   0.00000000000000e+00,    1.88709492878867e+01
         57,   5.70000000000000e-01,   1.89106620455192e+01,   0.00000000000000e+00,   6.63450480884448e-03,   0.00000000000000e+00,    1.89172965503280e+01
         58,   5.80000000000000e-01,   1.89588547935073e+01,   0.00000000000000e+00,   7.14237696701864e-03,   0.00000000000000e+00,    1.89659971704743e+01
         59,   5.90000000000000e-01,   1.90094533811703e+01,   0.00000000000000e+00,   7.68106827332932e-03,   0.00000000000000e+00,    1.90171344494437e+01
         60,   6.00000000000000e-01,   1.90625412337602e+01,   0.00000000000000e+00,   8.25191907768913e-03,   0.00000000000000e+00,    1.90707931528379e+01
         61,   6.10000000000000e-01,   1.91182031935430e+01,   0.00000000000000e+00,   8.85630065540371e-03,   0.00000000000000e+00,    1.91270594941984e+01
         62,   6.20000000000000e-01,   1.91765255036775e+01,   0.00000000000000e+00,   9.49561512013714e-03,   0.00000000000000e+00,    1.91860211187976e+01
         63,   6.30000000000000e-01,   1.92375957924293e+01,   0.00000000000000e+00,   1.01712953312723e-02,   0.00000000000000e+00,    1.92477670877606e+01
         64,   6.40000000000000e-01,   1.93015030577186e+01,   0.00000000000000e+00,   1.08848047959784e-02,   0.00000000000000e+00,    1.93123878625146e+01
         65,   6.50000000000000e-01,   1.93683376519919e+01,   0.00000000000000e+00,   1.16376375662681e-02,   0.00000000000000e+00,    1.93799752895581e+01
         66,   6.60000000000000e-01,   1.94381912674139e+01,   0.00000000000000e+00,   1.24313181312206e-02,   0.00000000000000e+00,    1.94506225855451e+01
         67,   6.70000000000000e-01,   1.95111569213699e+01,   0.00000000000000e+00,   1.32674013044708e-02,   0.00000000000000e+00,    1.95244243226743e+01
         68,   6.80000000000000e-01,   1.95873289422692e+01,   0.00000000000000e+00,   1.41474721072085e-02,   0.00000000000000e+00,    1.96014764143764e+01
         69,   6.90000000000000e-01,   1.96668029556423e+01,   0.00000000000000e+00,   1.50731456465540e-02,   0.00000000000000e+00,    1.96818761012888e+01
         70,   7.00000000000000e-01,   1.97496758705196e+01,   0.00000000000000e+00,   1.60460669895192e-02,   0.00000000000000e+00,    1.97657219375091e+01
         71,   7.10000000000000e-01,   1.98360458660824e+01,   0.00000000000000e+00,   1.70679110324573e-02,   0.00000000000000e+00,    1.98531137771148e+01
         72,   7.20000000000000e-01,   1.99260123785742e+01,   0.00000000000000e+00,   1.81403823660234e-02,   0.00000000000000e+00,    1.99441527609402e+01
         73,   7.30000000000000e-01,   2.00196760884625e+01,   0.00000000000000e+00,   1.92652151355148e-02,   0.00000000000000e+00,    2.00389413035980e+01
         74,   7.40000000000000e-01,   2.01171389078375e+01,   0.00000000000000e+00,   2.04441728966717e-02,   0.00000000000000e+00,    2.01375830807342e+01
         75,   7.50000000000000e-01,   2.02185039680379e+01,   0.00000000000000e+00,   2.16790484666471e-02,   0.00000000000000e+00,    2.02401830165046e+01
         76,   7.60000000000000e-01,   2.03238756074906e+01,   0.00000000000000e+00,   2.29716637702040e-02,   0.00000000000000e+00,    2.03468472712608e+01
         77,   7.70000000000000e-01,   2.04333593597531e+01,   0.00000000000000e+00,   2.43238696809958e-02,   0.00000000000000e+00,    2.04576832294341e+01
         78,   7.80000000000000e-01,   2.05470619417464e+01,   0.00000000000000e+00,   2.57375458576985e-02,   0.00000000000000e+00,    2.05727994876041e+01
         79,   7.90000000000000e-01,   2.06650912421664e+01,   0.00000000000000e+00,   2.72146005750740e-02,   0.00000000000000e+00,    2.06923058427415e+01
         80,   8.00000000000000e-01,   2.07875563100630e+01,   0.00000000000000e+00,   2.87569705495973e-02,   0.00000000000000e+00,    2.08163132806126e+01
         81,   8.10000000000000e-01,   2.09145673435729e+01,   0.00000000000000e+00,   3.03666207597054e-02,   0.00000000000000e+00,    2.09449339643326e+01
         82,   8.20000000000001e-01,   2.10462356787984e+01,   0.00000000000000e+00,   3.20455442604410e-02,   0.00000000000000e+00,    2.10782812230588e+01
         83,   8.30000000000001e-01,   2.11826737788165e+01,   0.00000000000000e+00,   3.37957619923644e-02,   0.00000000000000e+00,    2.12164695408088e+01
         84,   8.40000000000001e-01,   2.13239952228113e+01,   0.00000000000000e+00,   3.56193225846781e-02,   0.00000000000000e+00,    2.13596145453959e+01
         85,   8.50000000000001e-01,   2.14703146953162e+01,   0.00000000000000e+00,   3.75183021523330e-02,   0.00000000000000e+00,    2.15078329974686e+01
         86,   8.60000000000001e-01,   2.16217479755571e+01,   0.00000000000000e+00,   3.94948040871405e-02,   0.00000000000000e+00,    2.16612427796442e+01
         87,   8.70000000000001e-01,   2.17784119268848e+01,   0.00000000000000e+00,   4.15509588425766e-02,   0.00000000000000e+00,    2.18199628857274e+01
         88,   8.80000000000001e-01,   2.19404244862887e+01,   0.00000000000000e+00,   4.36889237124909e-02,   0.00000000000000e+00,    2.19841134100012e+01
         89,   8.90000000000001e-01,   2.21079046539807e+01,   0.00000000000000e+00,   4.59108826032892e-02,   0.00000000000000e+00,    2.21538155365840e+01
         90,   9.00000000000001e-01,   2.22809724830408e+01,   0.00000000000000e+00,   4.82190457997341e-02,   0.00000000000000e+00,    2.23291915288406e+01
         91,   9.10000000000001e-01,   2.24597490691155e+01,   0.00000000000000e+00,   5.06156497242889e-02,   0.00000000000000e+00,    2.25103647188398e+01
         92,   9.20000000000001e-01,   2.26443565401602e+01,   0.00000000000000e+00,   5.31029566897558e-02,   0.00000000000000e+00,    2.26974594968499e+01
         93,   9.30000000000001e-01,   2.28349180462186e+01,   0.00000000000000e+00,   5.56832546454464e-02,   0.00000000000000e+00,    2.28906013008640e+01
         94,   9.40000000000001e-01,   2.30315577492295e+01,   0.00000000000000e+00,   5.83588569165215e-02,   0.00000000000000e+00,    2.30899166061461e+01
         95,   9.50000000000001e-01,   2.32344008128555e+01,   0.00000000000000e+00,   6.11321019367869e-02,   0.00000000000000e+00,    2.32955329147923e+01
         96,   9.60000000000001e-01,   2.34435733923250e+01,   0.00000000000000e+00,   6.40053529747501e-02,   0.00000000000000e+00,    2.35075787452998e+01
         97,   9.70000000000001e-01,   2.36592026242825e+01,   0.00000000000000e+00,   6.69809978529306e-02,   0.00000000000000e+00,    2.37261836221355e+01
         98,   9.80000000000001e-01,   2.38814166166393e+01,   0.00000000000000e+00,   7.00614486604063e-02,   0.00000000000000e+00,    2.39514780652997e+01
         99,   9.90000000000001e-01,   2.41103444384195e+01,   0.00000000000000e+00,   7.32491414589301e-02,   0.00000000000000e+00,    2.41835935798784e+01
        100,   1.00000000000000e+00,   2.43461161095960e+01,   0.00000000000000e+00,   7.65465359820898e-02,   0.00000000000000e+00,    2.44226626455781e+01
        101,   1.01000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        102,   1.02000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        103,   1.03000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        104,   1.04000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        105,   1.05000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        106,   1.06000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        107,   1.07000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        108,   1.08000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        109,   1.09000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        110,   1.10000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        111,   1.11000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        112,   1.12000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        113,   1.13000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        114,   1.14000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        115,   1.15000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        116,   1.16000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        117,   1.17000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
        118,   1.18000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821436e-02,   0.00000000000000e+00,    2.44226626455780e+01
        119,   1.19000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821705e-02,   0.00000000000000e+00,    2.44226626455781e+01
        120,   1.20000000000000e+00,   2.43461161095960e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455781e+01
        121,   1.21000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821615e-02,   0.00000000000000e+00,    2.44226626455780e+01
        122,   1.22000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455780e+01
        123,   1.23000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821436e-02,   0.00000000000000e+00,    2.44226626455780e+01
        124,   1.24000000000000e+00,   2.43461161095959e+01,   0.00000000000000e+00,   7.65465359821526e-02,   0.00000000000000e+00,    2.44226626455781e+01
