  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          1,   3.00000000000000e-02,   4.96772608872502e-12,   5.40413631025194e-06,    5.40414127797802e-06
          2,   6.00000000000000e-02,   1.98443350314514e-11,   5.68472139144651e-08,    5.68670582494966e-08
          3,   9.00000000000000e-02,   4.45899909790970e-11,   5.40405649144956e-06,    5.40410108144054e-06
          4,   1.20000000000000e-01,   7.91646581125841e-11,   5.68477385161958e-08,    5.69269031743084e-08
          5,   1.50000000000000e-01,   1.23528602647852e-10,   5.40389705667380e-06,    5.40402058527645e-06
          6,   1.80000000000000e-01,   1.77641322896359e-10,   5.68486152507262e-08,    5.70262565736225e-08
          7,   2.10000000000000e-01,   2.41463558451828e-10,   5.40365822502617e-06,    5.40389968858463e-06
          8,   2.40000000000000e-01,   3.14953873979119e-10,   5.68498484491253e-08,    5.71648023231044e-08
          9,   2.70000000000000e-01,   3.98074058650165e-10,   5.40334021853768e-06,    5.40373829259633e-06
         10,   3.00000000000000e-01,   4.90781072430326e-10,   5.68514445154012e-08,    5.73422255878315e-08
         11,   3.30000000000000e-01,   5.93038532806597e-10,   5.40294326214263e-06,    5.40353630067543e-06
         12,   3.60000000000000e-01,   7.04800922112544e-10,   5.68534119073400e-08,    5.75582128294526e-08
         13,   3.90000000000000e-01,   8.26034664655511e-10,   5.40246758365407e-06,    5.40329361831872e-06
         14,   4.20000000000000e-01,   9.56690696406466e-10,   5.68557611172726e-08,    5.78124518136791e-08
         15,   4.50000000000000e-01,   1.09673942167643e-09,   5.40191341373834e-06,    5.40301015316002e-06
         16,   4.80000000000000e-01,   1.24612696486541e-09,   5.68585046527904e-08,    5.81046316176558e-08
         17,   5.10000000000000e-01,   1.40482907646339e-09,   5.40128098588924e-06,    5.40268581496571e-06
         18,   5.40000000000000e-01,   1.57278561783846e-09,   5.68616570174016e-08,    5.84344426352401e-08
         19,   5.70000000000000e-01,   1.74997923824603e-09,   5.40057053640298e-06,    5.40232051564123e-06
         20,   6.00000000000000e-01,   1.93634189439404e-09,   5.68652346911313e-08,    5.88015765855254e-08
         21,   6.30000000000000e-01,   2.13186487411380e-09,   5.39978230435224e-06,    5.40191416922635e-06
         22,   6.60000000000000e-01,   2.33647040489969e-09,   5.68692561110624e-08,    5.92057265159621e-08
         23,   6.90000000000000e-01,   2.55016033636658e-09,   5.39891653156096e-06,    5.40146669189733e-06
         24,   7.20000000000000e-01,   2.77284516182692e-09,   5.68737416518348e-08,    5.96465868136617e-08
         25,   7.50000000000000e-01,   3.00453939105001e-09,   5.39797346257857e-06,    5.40097800196962e-06
         26,   7.80000000000000e-01,   3.24513960235282e-09,   5.68787136060869e-08,    6.01238532084397e-08
         27,   8.10000000000000e-01,   3.49467523977600e-09,   5.39695334465402e-06,    5.40044801989380e-06
         28,   8.40000000000001e-01,   3.75302661221828e-09,   5.68841961648603e-08,    6.06372227770786e-08
         29,   8.70000000000001e-01,   3.53740212068573e-01,   4.17601716196765e-06,    3.53744388085735e-01
         30,   9.00000000000001e-01,   1.83206155139389e+00,   7.11535460140619e-08,    1.83206162254744e+00
         31,   9.30000000000001e-01,   4.39010367750285e+00,   4.22080552111623e-06,    4.39010789830837e+00
         32,   9.60000000000001e-01,   7.94756665944073e+00,   6.80541539974329e-08,    7.94756672749488e+00
         33,   9.90000000000001e-01,   1.25635879872797e+01,   4.00684555481544e-06,    1.25635919941253e+01
         34,   1.02000000000000e+00,   1.45283896509759e+01,   4.05976277998804e-06,    1.45283937107387e+01
         35,   1.05000000000000e+00,   1.47704621816207e+01,   2.47752530033797e-06,    1.47704646591460e+01
         36,   1.08000000000000e+00,   1.49813345737572e+01,   4.03127817725804e-06,    1.49813386050354e+01
         37,   1.11000000000000e+00,   1.51412455061113e+01,   2.49712263931586e-06,    1.51412480032340e+01
         38,   1.14000000000000e+00,   1.52300286747319e+01,   4.00674221805500e-06,    1.52300326814742e+01
         39,   1.17000000000000e+00,   1.52277107960885e+01,   2.53112119516989e-06,    1.52277133272097e+01
         40,   1.20000000000000e+00,   1.51163727058061e+01,   4.01479204862583e-06,    1.51163767205981e+01
         41,   1.23000000000000e+00,   1.49405107421022e+01,   2.45363395153429e-06,    1.49405131957362e+01
         42,   1.26000000000000e+00,   1.47250408997663e+01,   3.99394569271063e-06,    1.47250448937120e+01
         43,   1.29000000000000e+00,   1.44848802113857e+01,   2.45854589639024e-06,    1.44848826699316e+01
         44,   1.32000000000000e+00,   1.42501422961366e+01,   4.06372606252498e-06,    1.42501463598627e+01
         45,   1.35000000000000e+00,   1.40514386716627e+01,   2.47932495365098e-06,    1.40514411509877e+01
         46,   1.38000000000000e+00,   1.39107487472770e+01,   4.09085641702956e-06,    1.39107528381334e+01
         47,   1.41000000000000e+00,   1.38438676526579e+01,   2.50853707112015e-06,    1.38438701611949e+01
         48,   1.44000000000000e+00,   1.38651529128075e+01,   4.09316971251899e-06,    1.38651570059773e+01
         49,   1.47000000000000e+00,   1.39803616213163e+01,   2.51904137212144e-06,    1.39803641403577e+01
         50,   1.50000000000000e+00,   1.41834106598639e+01,   4.06858603318045e-06,    1.41834147284500e+01
