"displacement:0","displacement:1","displacement:2","nodal_EA_strains_xyz:0","nodal_EA_strains_xyz:1","nodal_EA_strains_xyz:2","nodal_EA_strains_xyz:3","nodal_EA_strains_xyz:4","nodal_EA_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
0.70649,9.7499e-08,5.9648e-09,-0.050758,0.043683,3.1345e-16,1.8703e-09,-8.0862e-10,-3.2882e-09,-3816.4,-664.86,-2343,5.9247e-05,-3.1123e-05,-9.525e-05,15.5,0,0,1.0e-14
0.71707,0.022535,5.3939e-09,-0.051456,0.046041,-1.6445e-09,-0.0061584,-3.6487e-09,1.7826e-09,-2298.6,1305.3,-663.2,-227.64,-0.0001566,5.857e-05,14.97,0.94186,4,1.0e-14
0.7058,-0.021826,3.3822e-09,-0.050386,0.043311,-6.1656e-09,0.0059183,-9.0935e-10,1.6564e-09,-3803.9,-677.28,-2342.9,197.49,-3.3965e-05,4.6734e-05,15.469,-0.97325,6,1.0e-14
0.71143,-0.067249,4.2842e-09,-0.048393,0.042978,-4.8396e-09,0.018088,-6.1691e-09,5.5953e-10,-2185.4,1192.1,-663.2,668.62,-0.00025989,5.5634e-06,14.734,-2.8107,7,1.0e-14
0.65238,-0.18625,4.3752e-09,-0.023643,0.016568,3.6151e-09,0.042727,-1.3424e-09,3.6141e-09,-2911.5,-1569.7,-2342.9,1425.8,-2.9031e-05,0.00010327,13.087,-8.3053,3,1.0e-14
0.67912,-0.10405,5.4047e-09,-0.036818,0.032897,2.247e-09,0.025325,3.4223e-09,-1.8586e-09,20211,47615,32423,9954.9,0.0014657,-0.00065389,15.217,-4.9443,10,1.0e-14
