  #timestep,                   time,        internal_energy,         kinetic_energy,            total_energy
          2,   2.00000000000000e-01,   2.35102040816326e-01,   6.66666666666667e-03,    2.41768707482993e-01
          4,   4.00000000000000e-01,   7.74320987654322e-01,   6.66666666666667e-03,    7.80987654320988e-01
          6,   6.00000000000000e-01,   1.12500000000000e+00,   5.00000000000000e-03,    1.13000000000000e+00
          8,   8.00000000000000e-01,   1.12500000000000e+00,   5.00000000000000e-03,    1.13000000000000e+00
         10,   1.00000000000000e+00,   1.12500000000000e+00,   5.00000000000000e-03,    1.13000000000000e+00
