"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
0.0098539,-8.8292e-18,0,0.0099024,1.782e-17,0,5.349e-16,0,0,1,1.7646e-15,0,5.3471e-14,0,0,1,1,0
0.0039415,5.1604e-17,0,0.0099024,-2.3526e-16,0,-6.717e-16,0,0,1,-2.3296e-14,0,-6.7253e-14,0,0,0.4,0.6,0
0.0049269,-2.1032e-17,0,0.0099024,0,0,6.2801e-16,0,0,1,0,0,6.2801e-14,0,0,0.5,1,0
0.0039415,2.9826e-17,0,0.0099024,3.4922e-16,0,9.7644e-17,0,0,1,3.4581e-14,0,9.9705e-15,0,0,0.4,0.5,0
0,0,0,0.0099024,4.1708e-17,0,7.2268e-17,0,0,1,4.1301e-15,0,7.3642e-15,0,0,0,0.5,0
