Step,Time,SOC,CRate
0,0,1.0000000000000000,0.0000000000000000
1,0.1,0.9999749241561310,-0.9027287167237965
2,0.2,0.9999498483578870,-0.9027287568413593
3,0.3,0.9999247725585365,-0.9027287963881537
4,0.4,0.9998996967580966,-0.9027288352935631
5,0.5,0.9998746209565849,-0.9027288735629603
6,0.6,0.9998495451540186,-0.9027289111936738
7,0.7,0.9998244693504161,-0.9027289481948599
8,0.8,0.9997993937246075,-0.9027161100184801
9,0.9,0.9997743182745330,-0.9027162953417446
10,1,0.9997492428193495,-0.9027164778858204
11,1.1,0.9997241673591387,-0.9027166572976881
12,1.2,0.9996990918939869,-0.9027168336290040
13,1.3,0.9996740164239790,-0.9027170069281119
14,1.4,0.9996489409491989,-0.9027171772407552
15,1.5,0.9996238654697289,-0.9027173446193373
16,1.6,0.9995987899856489,-0.9027175091095239
17,1.7,0.9995737144970398,-0.9027176707651212
18,1.8,0.9995486390039787,-0.9027178296310707
19,1.9,0.9995235635065426,-0.9027179857560642
20,2,0.9994984880048075,-0.9027181391910288
21,2.1,0.9994734124988466,-0.9027182899775358
22,2.2,0.9994483369887336,-0.9027184381686056
23,2.3,0.9994232614745394,-0.9027185838057402
24,2.4,0.9993981859563346,-0.9027187269376089
25,2.5,0.9993731104341879,-0.9027188676125739
26,2.6,0.9993480349081675,-0.9027190058698132
27,2.7,0.9993229593783397,-0.9027191417531193
28,2.8,0.9992978838447690,-0.9027192753103226
29,2.9,0.9992728083075205,-0.9027194065819878
30,3,0.9992477327666567,-0.9027195356138056
31,3.1,0.9992226572222394,-0.9027196624412578
32,3.2,0.9991975816743289,-0.9027197871091208
33,3.3,0.9991725061229850,-0.9027199096566071
34,3.4,0.9991474305682658,-0.9027200301218649
35,3.5,0.9991223550102287,-0.9027201485505726
36,3.6,0.9990972794489297,-0.9027202649722718
37,3.7,0.9990722038844239,-0.9027203794277375
38,3.8,0.9990471283167658,-0.9027204919567972
39,3.9,0.9990220527460084,-0.9027206025932130
40,4,0.9989969771722033,-0.9027207113743303
41,4.1,0.9989719015954018,-0.9027208183302760
42,4.2,0.9989468260156541,-0.9027209235025260
43,4.3,0.9989217504330092,-0.9027210269215612
44,4.4,0.9988966748475158,-0.9027211286197131
45,4.5,0.9988715992592205,-0.9027212286320001
46,4.6,0.9988465236681703,-0.9027213269879826
47,4.7,0.9988214486970762,-0.9026765917830645
48,4.8,0.9987963743405486,-0.9026770782106424
49,4.9,0.9987712999705223,-0.9026775636964158
50,5,0.9987462255871202,-0.9026780412373139
