"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2"
-0.45,0.8,0,1.5,-6.1081e-15,-0.375,8.6533e-16,0,0,375,75,0,1.3976e-13,0,0,-0.45,0.5,0,1.0e-9
-0.45,0.8,0,1.5,7.1474e-16,-0.375,-1.1145e-15,0,0,375,75,0,-2.724e-13,0,0,-0.45,0.45,0,1.0e-9
-0.5,0.8,0,1.5,-5.9357e-15,-0.375,-4.6151e-15,0,0,375,75,0,-7.4103e-13,0,0,-0.5,0.5,0,1.0e-9
-0.5,0.8,0,1.5,6.8791e-16,-0.375,2.7955e-15,0,0,375,75,0,5.1389e-13,0,0,-0.5,0.45,0,1.0e-9
0.45,0.8,0,1.5,2.3546e-16,-0.375,-4.0569e-15,0,0,375,75,0,-6.673e-13,0,0,0.45,0.4,0,1.0e-9
0.5,0.8,0,1.5,-1.7931e-15,-0.375,-6.226e-15,0,0,375,75,0,-1.1564e-12,0,0,0.5,0.4,0,1.0e-9
0.4,0.8,0,1.5,1.4756e-15,-0.375,3.0335e-15,0,0,375,75,0,5.7522e-13,0,0,0.4,0.4,0,1.0e-9
0.35,0.8,0,1.5,6.188e-17,-0.375,-2.6543e-15,0,0,375,75,0,-4.6579e-13,0,0,0.35,0.4,0,1.0e-9
0.3,0.8,0,1.5,-2.6277e-15,-0.375,1.559e-15,0,0,375,75,0,2.3968e-13,0,0,0.3,0.4,0,1.0e-9
0.25,0.8,0,1.5,3.8751e-16,-0.375,-6.6951e-16,0,0,375,75,0,1.1371e-13,0,0,0.25,0.4,0,1.0e-9
0.2,0.8,0,1.5,-1.1959e-15,-0.375,8.4438e-16,0,0,375,75,0,2.7516e-13,0,0,0.2,0.4,0,1.0e-9
0.15,0.8,0,1.5,3.9348e-15,-0.375,4.6517e-16,0,0,375,75,0,-1.3748e-13,0,0,0.15,0.4,0,1.0e-9
0.1,0.8,0,1.5,7.4887e-16,-0.375,-1.6051e-15,0,0,375,75,0,-2.9499e-13,0,0,0.1,0.4,0,1.0e-9
0.05,0.8,0,1.5,4.5551e-16,-0.375,-2.3984e-15,0,0,375,75,0,-5.4664e-13,0,0,0.05,0.4,0,1.0e-9
