"displacement:0","displacement:1","displacement:2","nodal_GL_strains_xyz:0","nodal_GL_strains_xyz:1","nodal_GL_strains_xyz:2","nodal_GL_strains_xyz:3","nodal_GL_strains_xyz:4","nodal_GL_strains_xyz:5","nodal_cauchy_coupling_stresses_xyz:0","nodal_cauchy_coupling_stresses_xyz:1","nodal_cauchy_coupling_stresses_xyz:2","nodal_cauchy_coupling_stresses_xyz:3","nodal_cauchy_coupling_stresses_xyz:4","nodal_cauchy_coupling_stresses_xyz:5","nodal_cauchy_stresses_xyz:0","nodal_cauchy_stresses_xyz:1","nodal_cauchy_stresses_xyz:2","nodal_cauchy_stresses_xyz:3","nodal_cauchy_stresses_xyz:4","nodal_cauchy_stresses_xyz:5","Points:0","Points:1","Points:2",1.0e-12
-0.00045383,0,0,-0.00022674,2.2576e-16,-1.9465e-16,-7.7713e-17,-2.4967e-16,-6.9365e-17,-1.3361,-1.3361,-1.3361,2.5259e-32,1.4204e-32,-1.8999e-32,-610.7,-261.79,-261.79,-1.1958e-10,-3.8419e-10,-1.0672e-10,-3,-1,-5,1.0e-12
0,0,0,-0.00022689,-2.3765e-16,-7.4469e-17,3.5677e-17,1.0148e-17,-8.8183e-17,-1.6892,-1.6892,-1.6892,2.602e-32,-5.0443e-32,-1.4271e-31,-611.09,-261.96,-261.96,5.4938e-11,1.5616e-11,-1.3568e-10,-5,1,-1,1.0e-12
-0.00045383,9.593e-17,-1.1661e-16,-0.00022674,8.7666e-17,3.1474e-17,-2.4873e-16,9.7242e-17,-2.2241e-17,-1.3361,-1.3361,-1.3361,-5.4092e-33,-1.983e-32,1.2649e-31,-610.7,-261.79,-261.79,-3.8278e-10,1.4964e-10,-3.4216e-11,-3,1,-1,1.0e-12
0,0,0,-0.00022689,8.227e-17,3.3832e-17,1.4715e-17,-2.9559e-17,1.9393e-16,-1.6892,-1.6892,-1.6892,5.8687e-32,7.6286e-32,6.0856e-32,-611.09,-261.96,-261.96,2.2631e-11,-4.5486e-11,2.9834e-10,-5,1,-3,1.0e-12
-0.00045383,5.6896e-17,-1.8544e-16,-0.00022674,2.0549e-16,-1.2032e-16,1.3863e-16,1.1961e-16,1.3017e-16,-1.3361,-1.3361,-1.3361,-1.2662e-33,-8.2054e-32,-6.6897e-32,-610.7,-261.79,-261.79,2.1335e-10,1.8406e-10,2.0024e-10,-3,1,-3,1.0e-12
0,0,0,-0.00022689,-2.3838e-16,6.899e-16,-7.5997e-18,-6.9521e-17,-3.9043e-16,-1.6892,-1.6892,-1.6892,-1.204e-31,-9.4606e-32,6.9924e-32,-611.09,-261.96,-261.96,-1.1622e-11,-1.0698e-10,-6.0063e-10,-5,1,-5,1.0e-12
-0.00045383,0,0,-0.00022674,-9.8506e-17,-6.0491e-16,9.667e-17,1.2283e-16,-4.9077e-16,-1.3361,-1.3361,-1.3361,1.8003e-32,1.0278e-31,-3.6954e-32,-610.7,-261.79,-261.79,1.4881e-10,1.8902e-10,-7.5504e-10,-3,1,-5,1.0e-12
0,0,0,-0.00022689,4.1743e-16,-1.9094e-16,1.1415e-16,2.0425e-17,-9.0798e-17,-1.6892,-1.6892,-1.6892,-1.4568e-31,3.8727e-32,4.5226e-32,-611.09,-261.96,-261.96,1.7568e-10,3.143e-11,-1.3974e-10,-5,3,-1,1.0e-12
-0.00045383,-4.6284e-17,-2.0034e-16,-0.00022674,-2.5398e-18,1.9025e-16,-3.2191e-17,6.0988e-17,2.2289e-17,-1.3361,-1.3361,-1.3361,5.8188e-32,-9.6333e-33,3.3074e-32,-610.7,-261.79,-261.79,-4.9445e-11,9.3849e-11,3.4295e-11,-3,3,-1,1.0e-12
0,0,0,-0.00022689,3.3071e-16,-4.6949e-16,4.4977e-17,7.3392e-17,-3.2462e-17,-1.6892,-1.6892,-1.6892,-1.5318e-31,4.9291e-32,-1.382e-31,-611.09,-261.96,-261.96,6.9101e-11,1.1294e-10,-4.9963e-11,-5,3,-3,1.0e-12
-0.00045383,1.1008e-15,-1.0317e-16,-0.00022674,-4.2314e-17,-3.001e-16,2.9907e-17,-1.0234e-16,-5.2787e-17,-1.3361,-1.3361,-1.3361,-6.4919e-32,3.1575e-32,5.4258e-32,-610.7,-261.79,-261.79,4.6015e-11,-1.5748e-10,-8.1337e-11,-3,3,-3,1.0e-12
0,0,0,-0.00022689,7.8552e-17,-3.1275e-16,1.8677e-16,-1.4447e-16,-7.9662e-17,-1.6892,-1.6892,-1.6892,-4.6733e-32,-1.5961e-32,7.1201e-32,-611.09,-261.96,-261.96,2.8738e-10,-2.2231e-10,-1.2255e-10,-5,3,-5,1.0e-12
-0.00045383,0,0,-0.00022674,-9.6148e-17,3.2527e-16,-9.3798e-17,8.7587e-17,1.5926e-16,-1.3361,-1.3361,-1.3361,2.7476e-31,2.6537e-32,-1.5921e-31,-610.7,-261.79,-261.79,-1.4441e-10,1.3478e-10,2.4515e-10,-3,3,-5,1.0e-12
0,0,0,-0.00022689,2.3566e-16,-4.6786e-16,-3.0093e-16,8.7823e-17,-1.5302e-16,-1.6892,-1.6892,-1.6892,1.3519e-31,1.6885e-31,1.1461e-31,-611.09,-261.96,-261.96,-4.6307e-10,1.3514e-10,-2.3542e-10,-5,5,-1,1.0e-12
-0.00045383,0,0,-0.00022674,3.0113e-17,-1.5239e-17,6.4011e-16,-1.3086e-16,-1.4977e-16,-1.3361,-1.3361,-1.3361,-1.1052e-31,2.2305e-32,-1.8417e-31,-610.7,-261.79,-261.79,9.8519e-10,-2.0137e-10,-2.3046e-10,-3,5,-1,1.0e-12
0,0,0,-0.00022689,2.3021e-16,-2.1261e-16,3.2561e-17,-3.8926e-17,2.517e-16,-1.6892,-1.6892,-1.6892,7.8306e-32,-1.475e-31,6.9274e-32,-611.09,-261.96,-261.96,4.9993e-11,-5.9899e-11,3.8723e-10,-5,5,-3,1.0e-12
-0.00045383,0,0,-0.00022674,-1.5438e-16,3.6554e-17,-2.7203e-16,1.4449e-16,1.9471e-16,-1.3361,-1.3361,-1.3361,2.3892e-31,-1.6964e-31,4.6951e-32,-610.7,-261.79,-261.79,-4.1868e-10,2.2235e-10,2.997e-10,-3,5,-3,1.0e-12
0,0,0,-0.00022689,-9.8977e-16,-1.6653e-16,-6.1029e-16,-1.5107e-16,2.832e-16,-1.6892,-1.6892,-1.6892,6.3013e-32,1.4966e-32,-4.1389e-31,-611.09,-261.96,-261.96,-9.3896e-10,-2.3247e-10,4.3576e-10,-5,5,-5,1.0e-12
-0.00045383,0,0,-0.00022674,-1.0631e-16,3.0332e-16,-4.9561e-16,4.4614e-17,1.8741e-16,-1.3361,-1.3361,-1.3361,-2.5369e-31,1.9767e-31,1.3052e-31,-610.7,-261.79,-261.79,-7.6273e-10,6.8652e-11,2.8846e-10,-3,5,-5,1.0e-12
-0.00090707,0,0,-0.00022663,3.4432e-16,-2.7222e-18,2.6681e-16,8.8039e-17,-5.3513e-17,-2.1782,-2.1782,-2.1782,-6.0363e-32,-8.6824e-32,4.0807e-32,-610.41,-261.66,-261.66,4.1048e-10,1.3548e-10,-8.2374e-11,-1,-5,-1,1.0e-12
-0.00090707,-1.3886e-16,7.1227e-16,-0.00022663,2.4718e-17,-1.1325e-16,-6.3441e-17,-6.3245e-17,-6.6945e-17,-2.1782,-2.1782,-2.1782,9.6173e-32,9.2208e-32,-8.0803e-33,-610.41,-261.66,-261.66,-9.7568e-11,-9.7323e-11,-1.03e-10,-1,-3,-1,1.0e-12
-0.00090707,0,0,-0.00022663,-1.0903e-16,1.327e-16,7.1051e-17,4.8564e-17,7.0976e-17,-2.1782,-2.1782,-2.1782,-1.7296e-31,1.2064e-31,-4.297e-32,-610.41,-261.66,-261.66,1.0923e-10,7.473e-11,1.0925e-10,-1,-5,-3,1.0e-12
-0.00090707,4.6163e-17,1.9754e-16,-0.00022663,-9.2065e-17,5.8914e-17,-1.0654e-16,-6.0968e-17,2.5153e-16,-2.1782,-2.1782,-2.1782,1.0001e-31,-1.454e-31,3.046e-32,-610.41,-261.66,-261.66,-1.6394e-10,-9.3818e-11,3.87e-10,-1,-3,-3,1.0e-12
-0.00090707,0,0,-0.00022663,2.8844e-16,-3.4323e-16,2.3903e-16,-1.544e-16,5.311e-17,-2.1782,-2.1782,-2.1782,6.03e-31,4.7932e-32,-1.7354e-31,-610.41,-261.66,-261.66,3.6776e-10,-2.3759e-10,8.1868e-11,-1,-5,-5,1.0e-12
-0.00090707,0,0,-0.00022663,-2.7284e-16,1.1882e-16,-2.3567e-16,3.2553e-17,1.7096e-16,-2.1782,-2.1782,-2.1782,-1.6915e-31,5.2493e-32,-6.7863e-32,-610.41,-261.66,-261.66,-3.6254e-10,5.0092e-11,2.6307e-10,-1,-3,-5,1.0e-12
-0.00090707,5.4851e-16,1.3666e-16,-0.00022663,-1.0395e-16,2.1411e-16,4.385e-17,-1.1301e-16,1.2736e-17,-2.1782,-2.1782,-2.1782,7.6039e-32,-8.286e-32,4.9138e-32,-610.41,-261.66,-261.66,6.7472e-11,-1.7389e-10,1.955e-11,-1,-1,-1,1.0e-12
-0.00090707,8.1972e-16,-3.2277e-16,-0.00022663,5.3834e-17,4.1816e-17,5.2618e-17,1.0248e-17,1.1155e-16,-2.1782,-2.1782,-2.1782,-1.8446e-31,2.2305e-31,-3.4007e-33,-610.41,-261.66,-261.66,8.0915e-11,1.577e-11,1.7168e-10,-1,-1,-3,1.0e-12
-0.00090707,0,0,-0.00022663,1.1474e-16,-1.5973e-16,5.4105e-17,1.9785e-16,9.343e-18,-2.1782,-2.1782,-2.1782,1.3882e-31,7.9521e-32,2.1249e-31,-610.41,-261.66,-261.66,8.328e-11,3.0446e-10,1.4468e-11,-1,-1,-5,1.0e-12
-0.00090707,-3.1497e-17,-8.9732e-17,-0.00022663,-4.5534e-17,1.2322e-16,-2.7624e-17,1.4877e-18,1.299e-16,-2.1782,-2.1782,-2.1782,7.7011e-32,1.2657e-32,1.8202e-33,-610.41,-261.66,-261.66,-4.2511e-11,2.2892e-12,1.9993e-10,-1,1,-1,1.0e-12
